loop accuracy efficiency purity fom query_id1
0 0.8383689148260324 0.6604296604296604 0.35948698604300267 0.10408292812790912 18137619
1 0.8138297872340425 0.7711511789181692 0.3367655966081163 0.11162719486553034 14204857
2 0.8361285555966014 0.723994452149792 0.3645251396648045 0.11621313161814004 69682774
3 0.8408452785577065 0.5755894590846047 0.34991568296795955 0.08756217944285592 114718421
4 0.8474839281755708 0.688626907073509 0.3807515337423313 0.11713027042206141 9520052
5 0.8509459060005912 0.7494795281054824 0.39473684210526316 0.13383563001883614 10509286
6 0.8440617840514374 0.6828591256072172 0.3731513083048919 0.11306299505258315 114910463
7 0.8628972653362897 0.6516308119361555 0.4096858638743455 0.12242523657624048 1361075
8 0.8735309335501515 0.5648854961832062 0.42887249736564803 0.11308824247248642 115368075
9 0.8951803666469544 0.563497571131159 0.5071830106183636 0.14393206283689872 120936910
10 0.9035262807717898 0.4302567661346287 0.5615942028985508 0.12874478523333485 108682349
11 0.907659322785746 0.4996530187369882 0.5769230769230769 0.15614156835530882 123242505
12 0.9154158964879852 0.476058292852186 0.6381395348837209 0.1762417641104153 39250385
13 0.9146702159124519 0.3296321998612075 0.7164404223227753 0.15069807019641343 10224252
14 0.9184352584485691 0.4618055555555556 0.6696878147029205 0.1862345023920221 80809546
15 0.9179115515456293 0.4444444444444444 0.6736842105263158 0.18117480537862704 12984842
16 0.9159085866429998 0.477414871438499 0.6408582089552238 0.17805864097624796 21801917
17 0.9110207100591716 0.44892286309937457 0.6117424242424242 0.15458644432952878 91950493
18 0.9187070049559879 0.41139680333564976 0.7014218009478673 0.18067278009992926 30266937
19 0.9174434087882823 0.47774687065368565 0.653041825095057 0.18418187437658928 103622953
20 0.923873640600725 0.5247042449547669 0.6854545454545454 0.2207739959240481 16729415
21 0.9229061852619118 0.5153203342618384 0.6813996316758748 0.21447527972652444 73172445
22 0.9167591564927858 0.6 0.6097733711048159 0.2054892601431981 20399400
23 0.92111883972177 0.5658536585365853 0.6470119521912351 0.21460680557295997 105496146
24 0.9208909938577666 0.5059233449477352 0.6685082872928176 0.20337782305207963 87832512
25 0.9175547661338069 0.5913528591352859 0.6162790697674418 0.2061954048300668 10906719
26 0.9184368292502405 0.5264993026499303 0.6409168081494058 0.19639672603789396 17696308
27 0.9238341968911917 0.5439330543933054 0.6753246753246753 0.22271274668072347 92105017
28 0.920571470871271 0.4804741980474198 0.6774827925270404 0.19787610427655244 86412536
29 0.9156795972756885 0.5767085076708508 0.6085356880058866 0.19683777789673695 79404795
30 0.9206337454653143 0.4930264993026499 0.6720532319391636 0.20009743685819373 95830682
31 0.9233673922701022 0.4456066945606695 0.726962457337884 0.20952367757488433 6280205
32 0.9206219918548686 0.42887029288702927 0.7085253456221198 0.19196159397781876 27860122
33 0.920468009478673 0.48080949057920447 0.676153091265947 0.19730657475227628 121498264
34 0.9188328519588239 0.43754361479413817 0.6837513631406761 0.1832597504849196 28471412
35 0.9191230928751296 0.4577808792742498 0.6755921730175077 0.18757292742280315 136853980
36 0.9190430338493445 0.424284717376134 0.6940639269406392 0.18269483581068657 6369161
37 0.918074074074074 0.4776536312849162 0.6564299424184261 0.1858447575647797 5026040
38 0.9199199940736351 0.41829608938547486 0.7072018890200709 0.18656690807289608 12851132
39 0.9179137650022225 0.39804469273743015 0.6985294117647058 0.17345984316539387 2755174
40 0.9226494776617026 0.4479385045422781 0.7162011173184357 0.20465330107740573 29802524
41 0.9165678719620628 0.4062937062937063 0.6771561771561772 0.16717892588997407 101643600
42 0.9258984809188588 0.5339398180545836 0.6955332725615314 0.2308193094479588 129988144
43 0.9230769230769231 0.48495451364590625 0.6964824120603015 0.21017728452571172 123903795
44 0.9209960720373527 0.4331700489853044 0.7074285714285714 0.1933181401023096 77407535
45 0.9163949006818856 0.4495798319327731 0.6524390243902439 0.17303971948491628 15482315
46 0.9212067304128678 0.41316526610644255 0.7239263803680982 0.19270158656347916 20804794
47 0.9262416604892513 0.49719887955182074 0.7193515704154002 0.2290793020647584 5090750
48 0.9223811994958855 0.4877365101611773 0.6877470355731226 0.20648698970327212 70610661
49 0.9266014234875445 0.4716187806587246 0.7403740374037404 0.22983304806902366 40695550
50 0.9234818714317491 0.48176718092566617 0.7010204081632653 0.21134997017620222 75370537
51 0.9261456325077858 0.5319298245614035 0.6973321067157314 0.2310617805258131 35269291
52 0.925176121616611 0.5059649122807017 0.702729044834308 0.22298331403079824 78925144
53 0.9263571640462771 0.48912280701754385 0.7245322245322245 0.22849771882790085 43554765
54 0.9270933768449158 0.5221052631578947 0.7112810707456979 0.235422009569378 67419161
55 0.9301290609701824 0.5442415730337079 0.7256554307116105 0.2550104105810905 81671460
56 0.9266374898004599 0.5361911454673226 0.6987179487179487 0.23377933942375265 102289092
57 0.9276706231454006 0.5270555165144062 0.7129277566539924 0.2387026795807999 9830480
58 0.9254395726685956 0.5361911454673226 0.6886281588447654 0.22753828920554345 21032738
59 0.9283276450511946 0.5274261603375527 0.7183908045977011 0.2423833457433606 56270173
60 0.930325740149885 0.5267229254571026 0.7379310344827587 0.25501969694076915 76219365
61 0.9269070940932027 0.5158339197748065 0.7116504854368932 0.2328240536914613 22736670
62 0.9257142857142857 0.5690140845070423 0.6750208855472013 0.2327915849527545 121366315
63 0.9280837167878878 0.5661971830985916 0.6949006050129646 0.24434918690889296 55674658
64 0.9309730572255622 0.5605633802816902 0.7223230490018149 0.2603316515193847 68195171
65 0.9302256532066508 0.5630725863284003 0.7140303842716711 0.25576747952040463 103421897
66 0.9307401083809665 0.5214940098661028 0.744466800804829 0.2569278077902238 58197339
67 0.9314773570898293 0.5648801128349789 0.7235772357723578 0.2632163876560896 108215074
68 0.9305813349172173 0.5568101623147494 0.7198905109489051 0.25691416261189315 95798516
69 0.9337689337689338 0.5748587570621468 0.7373188405797102 0.27787115691721354 10776371
70 0.9330957154525878 0.5826271186440678 0.7268722466960352 0.27388454295233955 109768160
71 0.9345759691073815 0.6091872791519435 0.7243697478991596 0.28446339904061496 19281154
72 0.9324173783884144 0.5618374558303887 0.7327188940092166 0.26826473116225763 82491916
73 0.9322638146167558 0.558303886925795 0.7335190343546889 0.267147226330332 101288750
74 0.9322587833320953 0.562942008486563 0.7302752293577982 0.26704519592092024 74353811
75 0.9332937156440351 0.5718329794762915 0.7338782924613987 0.2738832527663566 39230423
76 0.930540078746007 0.5852795470629866 0.7032312925170068 0.25828505091840437 17839979
77 0.9342496285289748 0.5845718329794763 0.7348754448398577 0.2807304267680508 89614628
78 0.9317185526413553 0.5824486907289455 0.7144097222222222 0.26483716711045424 34769248
79 0.9287412691336008 0.5555555555555556 0.703405017921147 0.24528183977002874 93869332
80 0.9323028906888609 0.5630311614730878 0.7300275482093664 0.26691101572516684 54877835
81 0.9316290130796671 0.5435861091424522 0.7353787152444871 0.26139846126160554 1669616
82 0.9351913786696395 0.5858156028368794 0.7414721723518851 0.2863217088421671 19583091
83 0.9315445220752193 0.5468085106382978 0.7321937321937322 0.2607231674100975 23977483
84 0.9314651007210287 0.5571327182398864 0.7248384118190212 0.2604819439060815 58941338
85 0.9333928040440084 0.5592618878637331 0.7412982126058325 0.2732165949390091 105136570
86 0.9300423760315218 0.552874378992193 0.7146788990825688 0.25157076006712525 20483278
87 0.9298884758364312 0.5067423704755145 0.7422037422037422 0.2481577863645524 13343408
88 0.9337497211688601 0.5653409090909091 0.7404651162790697 0.2755734008795858 8105156
89 0.9319601427721594 0.5657427149964463 0.7236363636363636 0.26365995382738366 106280304
90 0.9330705733620882 0.582089552238806 0.7241379310344828 0.2716417910447761 13149463
91 0.9333630819574594 0.5550817341862118 0.7431018078020932 0.27248198265206247 113406918
92 0.9337300111565637 0.5557924662402275 0.7461832061068703 0.2750820940505429 75719634
93 0.9340226123177626 0.5753911806543386 0.7361237488626023 0.27724327882630134 20098230
94 0.932827493862977 0.5501779359430605 0.7404214559386973 0.2681510368751487 108092701
95 0.9336408272578486 0.5701067615658363 0.7355371900826446 0.2742675771857267 11589489
96 0.9342310839967264 0.5826210826210826 0.7329749103942652 0.278378531299092 2142575
97 0.9310267857142858 0.5324305060584462 0.7337917485265226 0.2549523000164483 132392374
98 0.9335516035419302 0.5920114122681883 0.7211120764552563 0.274048785377912 109428144
99 0.9320583420151808 0.5788722341184868 0.7151675485008818 0.26374459655623195 22435628
100 0.9347324551611222 0.6164285714285714 0.7173732335827099 0.2825161216903118 39700075
101 0.9365138434057755 0.6157142857142858 0.7323704333050127 0.2937164993280101 4415223
102 0.9333829549683662 0.6 0.7148936170212766 0.2731707317073171 3305645
103 0.9343456900401965 0.6211579699785561 0.7117117117117117 0.280408455018891 77282990
104 0.9346385766396188 0.5918513223731237 0.7295154185022027 0.2801903344339316 13575865
105 0.9329213817748659 0.586552217453505 0.7174103237095363 0.2688500940815394 137079473
106 0.9331397513215695 0.6113099498926271 0.706368899917287 0.27204726274533797 9321848
107 0.9355174981384959 0.6413743736578382 0.7105471847739889 0.2886345749861492 42725109
108 0.9356616278203888 0.5931232091690545 0.7366548042704626 0.28619231771094233 34884664
109 0.9340184688710158 0.6181948424068768 0.709703947368421 0.2775765603523073 101427883
110 0.936098905191033 0.6014336917562724 0.7353198948290973 0.2891706976409814 4028157
111 0.9349024281245345 0.5863799283154122 0.7336322869955157 0.2806663436875408 57981778
112 0.932364990689013 0.6014336917562724 0.7044500419815282 0.2662811965084499 33184007
113 0.9342967818831943 0.592831541218638 0.7248028045574058 0.27714623210164707 72478876
114 0.934589883036579 0.6140602582496413 0.7157190635451505 0.2801895421437596 79984610
115 0.9358515869468037 0.6162123385939742 0.7248945147679325 0.28814719589124865 98826920
116 0.934803665896729 0.593974175035868 0.7282321899736148 0.28023396976051207 17310816
117 0.9371833084947839 0.6025824964131994 0.7440212577502214 0.29652565728593294 96140610
118 0.9342723004694836 0.5817790530846485 0.7306306306306306 0.2762428641988583 16302470
119 0.9341183484871068 0.5487804878048781 0.75 0.27439024390243905 128680430
120 0.9329209212193486 0.5839311334289814 0.7178130511463845 0.267936833489961 5852543
121 0.9337358378056052 0.5767575322812052 0.728921124206709 0.2726120258401463 5672364
122 0.9357435706298919 0.5900933237616655 0.738544474393531 0.2861691517003475 14949642
123 0.934545996719845 0.5761494252873564 0.7357798165137615 0.2773540450663024 4571912
124 0.9343174532170283 0.6053199137311287 0.717206132879046 0.2773010703817249 94310984
125 0.932970474202207 0.5787203450754853 0.7200357781753131 0.2671272235010124 18604980
126 0.933860263962419 0.5895039539899353 0.721830985915493 0.2734124673482732 12643333
127 0.9348247576435496 0.5657800143781452 0.7445600756859035 0.27881582424270523 1053100
128 0.9349690506376315 0.5892086330935252 0.73125 0.2802333742761888 18010459
129 0.9334725536992841 0.5913669064748202 0.7172774869109948 0.27096075647842927 39964972
130 0.9353322891027075 0.5784172661870504 0.7410138248847926 0.28236034123520853 71868974
131 0.9342831567954647 0.5640287769784172 0.7403210576015109 0.27482819213864457 60019953
132 0.935248041775457 0.5633093525179856 0.75 0.2816546762589928 16736398
133 0.9347955834079379 0.5776978417266188 0.736697247706422 0.2787808695351411 50910453
134 0.9327762441244497 0.537410071942446 0.7432835820895523 0.2639351240900771 3838664
135 0.9341143112968213 0.5601151907847373 0.7409523809523809 0.27338119098527325 16140403
136 0.9341840161182001 0.5619596541786743 0.7400379506641366 0.273613314768643 135254083
137 0.9349253731343283 0.5698847262247838 0.7420262664165104 0.27894728864096785 55225889
138 0.9342488245391447 0.5850144092219021 0.7269471799462847 0.2750617836063604 16238711
139 0.9359605911330049 0.5991348233597693 0.733451015004413 0.28663272205640083 12403470
140 0.9340150780025379 0.5873015873015873 0.7229129662522202 0.2731791383219955 111674842
141 0.9387876978202448 0.5952380952380952 0.761070110701107 0.30653647226680936 29974274
142 0.937812616648003 0.5855595667870036 0.7579439252336448 0.29904836817648606 3977230
143 0.9363894281021353 0.5780346820809249 0.7490636704119851 0.2882965995416084 73533751
144 0.936011349212275 0.5823699421965318 0.7428571428571429 0.2856909150398081 2458972
145 0.9388440860215054 0.6080983369486623 0.7522361359570662 0.3058676443623355 113122452
146 0.9382421029049361 0.6041968162083936 0.7488789237668162 0.30119662181134843 88775730
147 0.938386855862584 0.611875452570601 0.7451499118165785 0.30200628354098 5258719
148 0.9368884905519457 0.6072463768115942 0.7344434706397897 0.291283608338933 14667814
149 0.936211532715865 0.5891304347826087 0.7390909090909091 0.28611890291413433 86299140
150 0.9373272577874057 0.6033357505438723 0.7402135231316725 0.29389657169350225 95520982
151 0.93777080531899 0.6062364031907179 0.7424511545293073 0.2970771588906449 82747165
152 0.9374673141576392 0.5902828136330674 0.7495395948434622 0.2947792701210533 38078169
153 0.93753735803945 0.6066763425253991 0.7398230088495575 0.29521619461655046 85758504
154 0.9378315773742808 0.6296296296296297 0.7291841883936081 0.29781172334363826 54522126
155 0.9375280227170827 0.6187363834422658 0.7325881341358556 0.2953296351220227 126866771
156 0.9375233540094163 0.6107480029048656 0.7370727432077125 0.29502531329293047 75420581
157 0.9375934230194319 0.6162790697674418 0.7341991341991342 0.29542377114911855 7345154
158 0.937663502503924 0.6050909090909091 0.7408726625111309 0.29527016795521194 5996717
159 0.9367618478098371 0.6072727272727273 0.7318141980718668 0.2892599699216927 12953041
160 0.9407938999775735 0.6327272727272727 0.7519446845289542 0.31800850795651486 44220230
161 0.9400418660287081 0.6208151382823872 0.7522045855379189 0.31223780244980914 114771122
162 0.9384672897196261 0.6091703056768559 0.7453250222617988 0.3008115314758279 34982125
163 0.9392851802003889 0.6205389657683904 0.7454068241469817 0.30649228917951804 8060533
164 0.939504972706199 0.60932944606414 0.7538322813345356 0.30779420961306403 96997895
165 0.9397247980855519 0.6253644314868805 0.7460869565217392 0.30943637959385434 107075103
166 0.9401690225114053 0.6209912536443148 0.7526501766784452 0.3126977234662862 25843510
167 0.9411368735976066 0.6185266229029905 0.762589928057554 0.3198235220864244 103601226
168 0.9399356720771935 0.6233576642335766 0.7484662576687117 0.3104066736183524 132107855
169 0.9403800119688809 0.6175182481751825 0.7560321715817694 0.31376602880252513 38988069
170 0.9396274407122017 0.6233576642335766 0.7458515283842795 0.308249823541097 15226668
171 0.9382014065539428 0.6116788321167883 0.7402826855123675 0.2980156170429469 1342904
172 0.939768050879162 0.6216216216216216 0.7478031634446397 0.3089953271028037 11861968
173 0.9399880275366657 0.6257309941520468 0.7469458987783595 0.3103277699850243 24193394
174 0.939459702162688 0.6257309941520468 0.7424111014744146 0.3065974418970533 19056952
175 0.9409519533004042 0.6264619883040936 0.7550660792951542 0.3174913802345406 76166647
176 0.9406481550782128 0.6352339181286549 0.7472055030094583 0.31525886627858435 104587194
177 0.9408682634730539 0.6196049743964887 0.7582811101163832 0.3167202252950066 64661825
178 0.9408638371135564 0.6303074670571011 0.7513089005235603 0.31625566965976926 82306285
179 0.9400359335229825 0.6241758241758242 0.7473684210526316 0.3099054791362484 32856260
180 0.9421277232911582 0.6293040293040293 0.7628774422735346 0.3256458802241935 3120642
181 0.9418238993710691 0.6136363636363636 0.7700091996320148 0.3236380821446984 123168256
182 0.9421939348558592 0.6493030080704328 0.7506361323155216 0.32520269504376514 75753399
183 0.9412161150217163 0.6265590608950844 0.7557522123893805 0.3181221391227123 36934441
184 0.9400134801168277 0.6483113069016153 0.7327800829875518 0.3096045884229996 133012770
185 0.9414319952067106 0.6343612334801763 0.7526132404181185 0.31939866301099784 16607340
186 0.9401542955583851 0.6248164464023495 0.7471466198419666 0.3100401142206411 6291804
187 0.940749063670412 0.6204111600587372 0.7551385165326184 0.3144855610375722 18652293
188 0.9425425125477563 0.6473181484202792 0.7542808219178082 0.3273750222492916 63259284
189 0.942388372789931 0.6316176470588235 0.7622005323868678 0.32625349297867073 88695621
190 0.9411852850827901 0.6247240618101545 0.755338078291815 0.3168403395918884 46023394
191 0.9418552375243519 0.6394407652685798 0.7523809523809524 0.3217568181924701 78998200
192 0.9390783064818284 0.6151582045621781 0.7424511545293073 0.30144915534231004 104164717
193 0.9432703836930456 0.6298749080206034 0.7711711711711712 0.3332341911406901 21556420
194 0.9427415124035075 0.6261957321559971 0.7687443541102078 0.32914920819317695 7830625
195 0.9413880977364713 0.6188373804267844 0.7610859728506787 0.31870314570662933 19099202
196 0.942433100966944 0.6438557763061075 0.7549611734253667 0.32621528909545106 32908547
197 0.9422038980509745 0.6291390728476821 0.7620320855614974 0.32482723869853153 70925387
198 0.9410750431066797 0.6261957321559971 0.7537643932683791 0.316256716952376 6986050
199 0.9387464387464387 0.6126656848306333 0.7408726625111309 0.29896648080884863 21907772
200 0.9430156706905601 0.6440677966101694 0.7593397046046916 0.3301555743327203 134951743
201 0.9436112777444511 0.6271186440677966 0.7757520510483136 0.3358577508506576 80677130
202 0.9426321709786277 0.6600294985250738 0.7464553794829024 0.32691001725508634 7089843
203 0.9408279586020699 0.6273062730627307 0.7495590828924162 0.3132845664531851 17130447
204 0.9411235280882022 0.6336779911373708 0.7480383609415867 0.315185922548327 94138002
205 0.9405940594059405 0.638109305760709 0.7409948542024014 0.3114838645069224 3256181
206 0.9426899707448804 0.6314623338257016 0.7633928571428571 0.3272123002551363 1176659
207 0.9420855213803451 0.6499261447562777 0.7470288624787776 0.3223985385487736 61309342
208 0.9429064445944932 0.6644493717664449 0.7454394693200663 0.3282087830868319 33457282
209 0.9431272509003601 0.6516272189349113 0.7542808219178082 0.32955429384710494 78482707
210 0.9437232685525625 0.6545857988165681 0.7577054794520548 0.33408790770049757 14311558
211 0.9419180549302116 0.6338757396449705 0.7544014084507042 0.3206797573056315 45465462
212 0.9422889305816136 0.6449704142011834 0.7510766580534023 0.32341242161209427 107625550
213 0.9413839687781447 0.6227810650887574 0.756513926325247 0.31684692254062463 7219337
214 0.941304510996022 0.6264792899408284 0.75355871886121 0.3162264353872954 102304369
215 0.9419756793274283 0.6301775147928994 0.7573333333333333 0.3213113360883006 130043293
216 0.9405450041288191 0.6168639053254438 0.7527075812274369 0.31066696681245176 91856689
217 0.9429429429429429 0.6168639053254438 0.775092936802974 0.3297849340009103 119676433
218 0.9418124483820106 0.61880088823094 0.7627737226277372 0.3201222416838279 21545524
219 0.9396305751614357 0.6047372316802369 0.7516099356025759 0.3036695256808565 13782728
220 0.9441315611624239 0.6362962962962962 0.7724820143884892 0.3378111980954997 51565342
221 0.9411234604986483 0.6066666666666667 0.7639925373134329 0.3148669201520913 15452686
222 0.9399924896733007 0.6014814814814815 0.7567567567567568 0.30620875420875415 62145955
223 0.9421661409043113 0.6241660489251297 0.7619909502262443 0.3222242876731816 17574703
