,coeff1_g,coeff2_g,coeff3_g,residuo_g,maxflux_g,coeff1_r,coeff2_r,coeff3_r,residuo_r,maxflux_r,key,type,type_names,y_true,y_pred,y_score
0,0.2905101156070795,0.0956316658153157,0.0743924861107744,1.1042827395151935,230.6704559326172,0.2750864274730422,0.1134141740019117,0.0759669302867277,1.9642665536466275,373.748046875,1757,150,150: KN GW170817,True,True,0.888966208176106
1,0.5148031931065624,0.1161275203039629,-0.073608790221964,1.1465716173024878,427.8537902832031,1.017285236152482,-0.065935627617287,-0.2100534180946749,1.4748334767122906,788.6832275390625,6415,141,141: 91BG,False,False,0.0
2,1.0678394038417882,-0.1149317401772548,0.315341350276749,0.9903979111368684,270.6294250488281,1.0969441839613197,-0.0365592207542384,0.1731976672819334,0.9745678991920512,518.2465209960938,7707,103,103: Core collapse Type Ibc,False,False,0.0
3,0.0,0.0,0.0,0.0,0.0,0.4464766122096218,0.2018979116383451,0.0226481072335447,1.4350750893479862,534.019775390625,8267,151,151: KN Karsen 2017,True,True,0.8774363749725627
4,0.7852280222671923,0.0261942629526205,-0.2273224947102776,1.078375957115843,263.2862243652344,0.4939175772166766,-0.1994586350674629,-0.2877317166228511,0.9370451471370322,291.09942626953125,12578,102,102: MOSFIT-Ibc,False,False,0.06666666666666667
5,0.5161060082291579,0.1234788822424628,-0.052811809551388,2.1910802721619045,636.5991680167757,0.7488779268451504,0.1289433734645514,-0.0328130744064466,0.9052141329575384,383.8345307980272,15888,149,149: KN GRANDMA,True,True,0.7359939641922081
6,0.2752339712214943,0.1658122123460201,0.0550638012641284,1.867123538708757,426.7890625,0.3115033150087795,0.2414822858712043,-0.0224875687087037,2.492658333318408,721.9884033203125,16325,150,150: KN GW170817,True,True,0.9132810837029375
7,1.0401264551805025,-0.0317135123187999,-0.0320149637206583,1.0301104352076524,240.5332946777344,1.1117500380119898,-0.31460499030927,-0.0884428216468385,2.5215184090980265,350.2435913085937,17746,113,113: Core collapse Type II pca,False,False,0.0
8,1.505696206962432,-0.6803388508298146,0.1225313149905087,1.6275740022516068,1190.45556640625,1.1832307288923425,-0.2153561803256941,-0.1139647259384634,10.822609626855227,7142.92578125,20450,190,190: uLens_BSR,False,False,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20881,190,190: uLens_BSR,False,False,0.11996213836392118
10,0.3058507496665679,0.1539998175642095,0.0245610486122351,5.610094858516534,1721.4927978515625,0.389809878152231,0.1420882067677602,0.0273865882439406,5.4802653375728285,1562.4437255859375,22525,151,151: KN Karsen 2017,True,True,0.7862740511480958
11,1.0384687857876276,-0.0613949747863897,-0.1560542686117819,0.9116435053792796,462.8438415527344,1.2631773174156895,-0.2386429852960599,0.1456779993943129,0.6920737427955664,410.552490234375,22721,101,101: Ia SN,False,False,0.0
12,0.7276065089019244,0.1947447026510096,-0.0412995111002091,26.98064443381825,9110.525390625,0.6831584123630248,0.0066905912011803,-0.0778560922660275,31.83895318998685,7138.8291015625,28901,180,180: RRLyrae,False,False,0.009179335783476928
13,0.992974786673568,-0.0148150269733661,0.0239029065428828,0.5486495198177831,1334.8830756587708,0.6054966280767715,0.0430883653599933,0.1206057478401454,5.37880783076021,2298.7597131414896,29144,149,149: KN GRANDMA,True,True,0.6155133101252237
14,0.2552937089192096,0.1940639917417234,-0.066646613063782,41.15739267466125,10186.5390625,0.6473371144382947,0.0960965842600966,0.3405705293319957,32.47215125849783,8508.22265625,37065,180,180: RRLyrae,False,False,0.0
15,1.0381108201453326,-0.2149874941314668,-0.3974267572903617,1.542397571213215,1441.0946044921875,1.093015271356042,-0.1664117861024137,-0.1962023042789876,1.3127411170042993,1675.723876953125,40508,101,101: Ia SN,False,False,0.0
16,0.6010936604871706,0.1327301550806679,0.2449890089945804,2.6199287650414904,822.1171875,0.6482328244461703,0.1409474928738957,0.2647486503712868,2.9808239532888163,1251.23388671875,40839,150,150: KN GW170817,True,True,0.6818112224771287
17,1.3334421292842764,-0.2058242408757722,0.0230571698084044,1.4877070631918012,831.0391845703125,0.6974652490476397,-0.6411887598156,-0.1725388449492983,3.166895975415109,591.5296630859375,45508,164,164: TDE,False,False,0.0
18,0.734683904407965,-0.3029272928905548,-0.1890719736252598,1.2286668162325354,252.4128570556641,0.8882256181547634,-0.4862996176481488,-0.0402162289721367,1.007726443296156,326.16314697265625,48900,143,143: Iax,False,False,0.0006006006006006006
19,0.9413103272343852,0.0330550675981326,0.2047620064283535,1.2904925387006794,320.24169921875,0.7494378183068773,0.0133688776180177,0.1307084511880598,0.9949541158833674,409.7882385253906,51027,112,112: Core collapse Type II,False,False,0.037490426737738565
20,0.2080203246089195,0.1474127131905873,-0.0677352835360314,2.6967299119710413,1478.008056640625,0.1811608838312541,0.1017587816993704,-0.054949860425557,5.118789954018862,2861.8408203125,61560,150,150: KN GW170817,True,True,0.8122283662700144
21,1.1694369862031708,-0.158783877376508,0.3396551001721448,0.9466165703108672,498.0925903320313,1.447336058101054,-0.1747665597671829,0.2842261059235487,1.404696707581468,1091.2210693359375,66044,112,112: Core collapse Type II,False,False,0.0
22,0.0962195100514752,-0.1646444485219482,0.012532912668876,1.1705290112660724,200.7334442138672,0.7137208923179763,0.1570172081986009,-0.0344033453882278,1.6134995554832972,316.7909240722656,66728,145,145: point Ia,False,False,0.21894051367735579
23,0.0,0.0,0.0,0.0,0.0,1.0795049888700792,-0.0521447919090548,0.0523276878756519,1.5037093040133864,292.44384765625,67356,113,113: Core collapse Type II pca,False,False,0.01746031746031746
