loop accuracy efficiency purity fom query_id1
0 0.7745178498153468 0.9709573323771962 0.385590203616688 0.1679775414347056 66683572
1 0.8145165427032572 0.8512011473646468 0.4258295964125561 0.16871933905349182 92509024
2 0.8314353134297733 0.7518823951237003 0.44702622042208484 0.15960090925947965 88878389
3 0.8189606525419382 0.6023664395840803 0.4097560975609756 0.11319637790841777 127031939
4 0.8366509337163964 0.6034420939404804 0.447487370380218 0.12828003588503584 4329263
5 0.84151659740393 0.7722381635581061 0.4673323203820273 0.17473765277357886 32733909
6 0.842842483324782 0.5652797704447633 0.4598774438284214 0.12496576212946373 82306285
7 0.8448868592539381 0.7872264083243631 0.4744809688581315 0.18211458665791358 19218621
8 0.8479577175697866 0.7237172587011123 0.47909738717339667 0.16981592726851366 99380199
9 0.8412274849899933 0.7821249102656138 0.4669952850407201 0.1767894377042295 10918068
10 0.8395771323001129 0.7587939698492462 0.462784588441331 0.1692792794703785 1757
11 0.863484731845009 0.8107719928186714 0.5142336597585971 0.21147316157844062 102600427
12 0.891192773557791 0.725314183123878 0.5985185185185186 0.24077808544128734 14590525
13 0.8891854437201663 0.8232758620689655 0.578934074261177 0.2587341664420772 87653213
14 0.9012421722615748 0.6587643678160919 0.6531339031339032 0.25403150769022553 103507469
15 0.8891227349725374 0.7999281609195402 0.5814621409921671 0.25318931415119617 64252628
16 0.8901437371663244 0.6598419540229885 0.6062706270627063 0.22380533041732456 22426262
17 0.905641973407259 0.7194683908045977 0.6545751633986928 0.27852632137255684 78561304
18 0.9032241503234418 0.6449874236435501 0.6667904903417533 0.25808123616588774 95407468
19 0.9063510807619243 0.794392523364486 0.6383593298671288 0.29426876913099465 1664233
20 0.9030601766276443 0.7268152408339325 0.6419047619047619 0.2718498736526473 81115018
21 0.8989987163029525 0.7372393961179008 0.6239732278673562 0.2625591250977279 80027864
22 0.9085447263017357 0.6675053918044572 0.6844821231109472 0.28012599154370105 30231595
23 0.9064859035587737 0.6839266450916937 0.6687763713080169 0.2751329270229275 102160697
24 0.9037078882497945 0.7162891046386192 0.6471734892787524 0.2717805517028818 41879722
25 0.903446150685635 0.6623516720604099 0.6618756737333813 0.26153307179748664 54389598
26 0.9044684129429892 0.5480043149946062 0.7165021156558533 0.25057263007854186 80943342
27 0.9082130566541682 0.6669064748201439 0.6828729281767956 0.27866680286602363 88736447
28 0.9110334908567906 0.6665467625899281 0.6971407072987208 0.2893887420522813 81847985
29 0.9119021934555915 0.6898164807484707 0.6920577617328519 0.29543748739830616 111764291
30 0.9182163772731943 0.7321814254859611 0.7057598889659958 0.3253073436955974 67488958
31 0.9167223221166195 0.6911447084233261 0.7156168468132688 0.3152762746906121 34331665
32 0.9102959309494452 0.6427799783939503 0.703032690035447 0.28350933072231316 15874586
33 0.9079792426655706 0.6787900612171408 0.6770833333333334 0.27924907581717817 123253936
34 0.9147055801048196 0.7222622478386167 0.6928127159640636 0.3099605751105365 5417761
